steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
2700045	13484	1697.722734928131	2912.2599999999966	868.4999999999994	6461.763900257154	21295.59999999997	468.4000000000004	87.91677245052082	3.0238659870486635
2750059	13734	1729.6042668819427	1802.759999999998	740.2999999999993	3290.4509070271088	11164.799999999985	677.9999999999999	90.50383806733545	2.976293282972206
2800254	13987	1761.6308829784393	816.3399999999997	825.6999999999998	197.57132158061572	1069.1999999999998	345.6000000000002	93.36516381794762	2.9820994305056967
2850530	14237	1793.7658717632294	2992.3599999999915	982.1999999999996	4287.32256858648	11287.599999999971	781.5999999999999	93.78284716766245	2.9583964240848313
2900249	14486	1825.4780416488647	1887.999999999996	939.099999999999	3144.7194709720984	10832.599999999962	673.4	95.78545320782243	2.983363564141143
2950040	14738	1857.2563378810883	6086.239999999986	1212.7999999999993	8591.876336685049	21353.59999999997	779.7999999999995	95.19302140647969	2.905895064610019
3000234	14987	1889.3026275634766	4030.0599999999913	1079.599999999999	6737.16595019332	21088.999999999967	853.1999999999996	98.59310011959079	2.9901278136753153
3050078	15237	1921.1740310192108	9066.120000000014	1091.7999999999993	18819.423308722595	61272.4000000002	880.3999999999999	98.27034358728142	2.9138344895875616
3100041	15487	1953.0803680419922	2916.839999999998	895.0999999999995	6358.0728231822595	21007.599999999984	633.6000000000001	98.3924152578089	2.915128493787232
3150086	15739	1985.0380473136902	5939.239999999987	5930.399999999983	5320.698906305019	11121.19999999997	774.8	98.67478999477568	2.970489543961872
3200131	15989	2017.0659718513489	4048.679999999994	1058.0999999999995	6810.318966065787	21090.999999999956	811.5999999999999	101.16976169680142	2.9687955003358515
3250100	16239	2048.996784925461	8201.29999999999	1188.5999999999995	10746.784494494661	31440.39999999998	985.1999999999992	101.26112904461112	2.972713786290827
3300038	16489	2080.9325404167175	5080.13999999999	1044.1999999999996	9737.764439336146	31228.39999999994	873.5999999999992	100.66488439591733	2.9440226484415346
3350444	16742	2113.1517176628113	3043.4399999999982	955.9999999999991	6470.591697347139	21455.39999999999	858.3999999999992	104.27164581767536	2.975472590806659
3400049	16994	2144.8061015605927	4924.539999999996	991.5999999999997	9793.649660899873	31309.99999999996	483.20000000000147	102.92641247130504	2.9628244669143817
3450290	17244	2176.9114117622375	919.7799999999992	919.5999999999995	112.35868952204385	1079.7999999999984	722.999999999999	104.07464482814638	2.895975357196807
3500053	17495	2208.7406072616577	5144.739999999995	1167.499999999999	9809.347870520687	31497.799999999974	741.3999999999994	104.86003268503082	2.960678596039611
3550190	17745	2240.7646815776825	1009.5399999999994	971.3999999999999	137.3057593677535	1220.9999999999993	821.4000000000002	104.77320820553108	2.961510014525264
3600353	17996	2272.8229455947876	4965.2799999999925	934.2999999999995	7189.049174775001	21465.99999999995	645.5999999999999	109.64802598260576	2.8741739639415345
3650294	18246	2304.8035504817963	6196.179999999989	1299.7999999999988	8481.77364913205	21281.199999999964	945.3999999999994	109.29152897498741	2.935687110154352
3700081	18496	2336.5645887851715	6095.539999999988	1182.9999999999995	7180.328313168464	21159.99999999996	775.1999999999986	108.05968714683621	2.9817990634192886
3750101	18747	2368.5815000534058	1076.939999999999	1060.3999999999992	164.08009019987728	1348.5999999999979	833.2000000000003	108.1912702313815	2.957841141440418
3800158	18998	2400.5648362636566	1018.8799999999994	1076.5999999999992	282.8241888130812	1394.3999999999985	490.0000000000011	107.93962097861376	2.9671704457814587
3850155	19247	2432.6120524406433	1055.979999999999	1050.099999999999	166.34474109177293	1369.7999999999993	821.3999999999988	108.97962633021355	2.901165203314953
3900474	19499	2464.818997144699	3071.039999999998	1042.7999999999993	4432.868212994579	11617.999999999995	469.80000000000086	112.77805179546613	2.9850771067592357
3950080	19747	2496.575436115265	2203.779999999996	1224.499999999999	3120.117764800259	11080.399999999969	1029.3999999999996	114.7392024358185	2.988671878576237
4000398	19998	2528.7392752170563	5987.979999999991	1317.499999999999	7052.831501019826	21065.799999999952	553.0000000000008	112.16548962618336	2.91206723532413
4050347	20248	2560.790414094925	4095.699999999996	1128.1999999999998	4929.352242547804	11401.39999999999	856.1999999999982	114.35858780520859	2.9435074188862997
4100059	20499	2592.642399787903	6182.059999999986	1300.7999999999988	7187.189141211972	21498.599999999948	895.1999999999997	112.52036839488419	2.97842820409271
4150140	20752	2624.6927967071533	6144.499999999988	1270.599999999999	7148.672641515724	21318.199999999986	830.5999999999996	112.36033533038851	2.8959371142956094
4200007	20999	2656.6473503112793	1016.8999999999994	1006.4999999999993	164.30241088377878	1250.5999999999988	773.6	111.78716913662626	2.9145976191867664
